Individuo,lnsalario,educ,edad,edad2,urban,soltero,casado,femenino
3573,"2,4857",9,43,1849,1,0,1,0
3574,"2,4857",5,17,289,0,1,0,0
3575,"2,4857",5,24,576,0,1,0,0
3576,"2,4857",5,15,225,0,1,0,0
3577,"2,4971",9,38,1444,0,0,1,0
3578,"2,9759",9,29,841,0,1,0,0
3579,"2,9114",12,25,625,1,0,1,0
3580,"2,8508",5,49,2401,1,0,0,0
3581,"2,8218",16,21,441,1,1,0,0
3582,"2,6882",5,27,729,1,0,1,0
3583,"2,6882",5,39,1521,1,1,0,0
3584,"2,6395",12,20,400,1,1,0,0
3585,"2,5929",12,35,1225,1,0,1,0
3586,"2,5929",9,25,625,0,0,1,0
3587,"2,5705",5,26,676,1,0,1,0
3588,"2,5705",5,22,484,1,1,0,0
3589,"2,5705",5,28,784,0,0,1,0
3590,"2,5485",12,17,289,1,1,0,0
3591,"2,5485",5,21,441,0,1,0,0
3592,"2,5485",5,36,1296,0,0,1,0
3593,"2,5485",16,27,729,1,1,0,0
3594,"2,5270",9,19,361,1,1,0,0
3595,"2,5059",5,30,900,1,1,0,1
3596,"2,5059",12,20,400,1,1,0,0
3597,"2,5059",16,33,1089,1,0,1,0
3598,"2,5059",9,44,1936,0,0,1,0
3599,"2,5059",9,44,1936,1,0,1,0
3600,"2,5059",16,22,484,1,1,0,0
3601,"2,5059",5,17,289,0,1,0,0
3602,"2,5059",5,18,324,0,1,0,0
3603,"2,5059",5,42,1764,1,0,1,0
3604,"2,5059",9,32,1024,1,0,1,0
3605,"2,5059",9,40,1600,0,0,1,0
3606,"2,5059",12,20,400,1,1,0,0
3607,"2,5059",12,21,441,1,1,0,0
3608,"2,5059",12,22,484,1,1,0,0
3609,"2,5059",12,22,484,1,1,0,0
3610,"2,5059",12,23,529,1,1,0,0
3611,"2,5059",12,24,576,1,1,0,0
3612,"2,5059",9,23,529,1,0,1,0
3613,"2,5059",5,17,289,0,1,0,0
3614,"2,5059",5,40,1600,1,0,1,0
3615,"2,5059",5,15,225,0,1,0,0
3616,"2,5059",5,19,361,1,1,0,0
3617,"2,5059",5,18,324,1,1,0,0
3618,"2,5059",12,20,400,0,1,0,0
3619,"2,5059",5,22,484,1,0,1,0
3620,"2,5059",5,22,484,1,0,1,0
3621,"2,5059",12,25,625,1,0,1,0
3622,"2,5059",12,25,625,1,1,0,0
3623,"2,5059",9,25,625,0,0,1,0
3624,"2,5059",12,26,676,0,0,1,0
3625,"2,5059",9,20,400,0,1,0,0
3626,"2,5059",9,18,324,1,1,0,0
3627,"2,5059",12,17,289,1,1,0,0
3628,"2,5059",5,18,324,1,1,0,0
3629,"2,5059",9,19,361,1,1,0,0
3630,"2,5059",10,22,484,1,1,0,0
3631,"2,5059",9,20,400,0,1,0,0
3632,"2,5059",5,30,900,1,0,1,0
3633,"2,5059",12,23,529,0,0,1,0
3634,"2,5059",12,24,576,0,0,1,0
3635,"2,5059",12,33,1089,0,1,0,0
3636,"2,5059",5,18,324,1,1,0,0
3637,"2,5059",10,36,1296,1,0,1,0
3638,"2,5059",5,22,484,1,1,0,0
3639,"2,4651",5,22,484,0,0,1,0
3640,"2,3881",5,20,400,1,1,0,0
3641,"2,3881",5,22,484,1,1,0,0
3642,"2,3881",9,26,676,1,1,0,0
3643,"2,3881",9,21,441,0,1,0,0
3644,"2,3881",12,22,484,1,0,1,0
3645,"2,3518",5,52,2704,1,0,1,0
3646,"2,3518",5,57,3249,1,0,1,0
3647,"2,3518",5,50,2500,1,0,1,0
3648,"2,3518",5,18,324,0,1,0,0
3649,"2,3518",5,34,1156,0,0,1,0
3650,"2,3518",10,18,324,0,1,0,0
3651,"2,3518",5,28,784,0,0,1,0
3652,"2,3167",5,15,225,1,1,0,0
3653,"2,3167",9,26,676,1,0,1,0
3654,"2,3167",9,18,324,0,1,0,0
3655,"2,2828",12,54,2916,0,0,1,0
3656,"2,2828",9,24,576,1,1,0,0
3657,"2,2828",9,25,625,1,1,0,0
3658,"2,2828",5,35,1225,1,0,1,0
3659,"2,2828",9,44,1936,1,0,1,0
3660,"2,2828",5,18,324,1,1,0,0
3661,"2,2663",10,22,484,1,1,0,0
3662,"2,1875",5,25,625,1,0,1,0
3663,"2,1576",5,32,1024,0,0,1,0
3664,"2,1286",5,20,400,1,1,0,0
3665,"2,1286",5,50,2500,1,0,1,0
